Real_AT_mean,Real_AT_max,Predicted_AT_mean,Predicted_AT_max
26.566975,30.53303,27.242413,30.806694
25.65440375,27.54032,27.130157,30.6418
24.694625,26.27413,26.811232,30.280277
26.4641325,30.22106,25.914993,29.149353
29.163035,33.31164,26.87603,30.370028
25.01939,28.54809,28.380627,32.325493
25.99102625,29.5528,25.94415,29.310497
27.206955,31.01473,26.400251,29.84502
24.41802375,25.78019,27.19442,30.854046
25.98299375,28.73465,25.356613,28.522621
26.43832,29.72406,26.419327,29.848211
27.10812875,30.71806,26.741682,30.311392
28.848011249999995,32.5195,27.124098,30.818615
29.396815,32.72289,27.996754,31.965345
28.831958749999995,32.23507,28.184534,32.262703
24.7078025,27.696279999999998,27.837637,31.832386
27.89951,32.21365,25.34127,28.699808
29.506727500000004,33.69394,27.55114,31.365343
24.1028025,26.24965,28.371908,32.44001
25.337085,28.54197,25.032795,28.271261
25.25718,29.73324,26.093279,29.527271
26.558745,31.00249,26.126484,29.58745
26.5383,29.54362,26.846344,30.537401
26.975285,30.22871,26.853783,30.55325
29.491816249999996,34.46772,27.02632,30.73051
24.708185,28.03885,28.179443,32.22798
27.26315125,31.0132,25.447083,28.8631
28.7805375,32.23813,27.117556,30.915905
28.15947875,33.22754,28.037588,32.06661
28.40415375,32.23048,27.559074,31.481174
28.6864925,33.03333,27.607853,31.543133
28.54580125,34.03804,27.825186,31.781685
24.97829,27.75901,27.765656,31.689949
28.93708375,34.10837,25.916407,29.416098
28.3725975,33.92334,28.000574,32.07273
29.674366250000002,35.67888,27.913822,32.116077
30.30957125,35.19259,28.438505,32.828575
30.342645000000005,35.70183,28.683645,33.180553
30.7817275,35.79970000000001,28.594042,33.054947
30.4871675,35.12532,28.67861,33.11468
28.15432125,32.06687,28.510017,32.767303
26.52205625,30.44587,27.306915,31.114868
26.13611625,28.96252,26.360949,29.764372
28.3185175,32.32223,26.233828,29.48411
28.302465,32.23966,27.54382,31.108715
24.698635,27.0678,27.6214,31.215097
25.3443525,26.75736,25.446907,28.50961
26.16326125,28.75301,25.83372,28.97137
24.5405525,26.57233,26.422367,29.695786
27.48967,32.0072,25.34661,28.39684
27.85554125,31.53009,27.044565,30.553951
28.629716249999998,33.00579,27.277416,30.923744
28.924665,34.22001,27.554754,31.329048
29.461815,32.73819,27.651676,31.507917
27.941955,31.55304,27.9118,31.826483
26.31064,30.23942,27.104029,30.763065
26.5612375,30.73948,26.192486,29.596394
25.96694125,29.65526,26.490513,29.966068
26.84432875,31.50255,26.255163,29.683136
26.34618125,31.01014,26.7243,30.343735
26.40028,30.70123,26.497616,30.135708
27.43098125,31.69064,26.52606,30.211899
27.82916125,32.20753,27.055597,30.91709
27.6943925,32.19835,27.24632,31.16011
27.5873425,31.20741,27.245232,31.252415
28.198845,32.50267,27.016685,31.057808
26.88868,32.01791,27.275814,31.437143
25.22468,30.218,26.567772,30.530916
26.97200875,32.05764,25.42321,29.05226
24.67893625,28.02508,26.390017,30.293077
25.5161925,30.69358,25.175777,28.690897
24.43635875,28.03426,25.539217,29.056341
25.80404625,32.63568,24.892344,28.220951
26.28135375,32.91858,25.603186,29.23278
27.6481225,33.47372,26.022598,29.917078
27.61772625,33.68782,26.870869,30.995275
24.8312875,27.24365,26.806782,30.95727
26.73326875,30.21341,25.05568,28.636429
26.2779425,28.73618,26.012215,29.71912
27.12456375,31.02238,25.91881,29.520088
26.835155,30.52079,26.313686,29.961962
25.46591875,30.23789,26.168528,29.76705
24.118275,28.0159,25.354622,28.729137
25.94169,31.175279999999997,24.504246,27.68133
26.7839125,31.67687,25.704897,29.21435
25.203075,28.22847,26.27304,30.01107
24.150775,29.50537,25.312698,28.83785
23.59165,27.22988,24.537786,27.833038
24.13739375,28.01437,24.184769,27.343483
26.038795,31.07129,24.545198,27.77213
26.63997625,31.082,25.640015,29.216698
27.06433875,31.50561,25.990898,29.740547
27.19853375,31.71206,26.149847,30.006218
25.754945,27.74677,26.214447,30.097393
24.91987,30.01155,25.459225,29.156036
25.0109625,29.69652,24.606445,28.081224
25.99311125,30.98719,24.602127,28.085587
26.39701625,31.6631,25.31818,29.00328
26.38229625,31.97354,25.587774,29.403276
27.03893429,31.98578,25.5192,29.37519
22.28816625,23.74782,25.814905,29.816788
20.83462625,21.35151,22.64524,25.726372
23.5943025,29.23772,21.19639,23.783987
22.86428125,25.88719,23.36714,26.516111
20.202475,21.14047,23.153893,26.375208
20.0149525,20.941669999999995,21.155636,23.99303
19.960465,21.48758,21.05648,23.82415
19.81269125,23.44498,20.933578,23.662605
20.79732625,23.36394,20.57005,23.336622
23.03422125,26.17009,21.389456,24.422087
22.7209375,24.33045,23.321255,26.644947
18.9723875,23.84569,23.160326,26.39506
16.16011125,16.81119,19.58557,22.203194
18.4233675,21.12818,17.219797,19.433968
19.38583625,21.6466,19.181646,21.960411
20.1422375,22.57333,20.268677,23.374006
20.6402,22.66049,20.737698,23.987041
21.0116175,23.47864,21.144913,24.46188
20.81951125,23.70651,21.45166,24.760263
22.1078925,25.99424,21.216928,24.381025
19.48697625,20.52112,22.096306,25.343779
19.679465,21.19703,19.898703,22.653551
19.54279625,21.01659,20.11174,22.875383
19.99698125,21.23222,19.968594,22.693787
20.00692,21.52736,19.789206,22.44592
21.2714075,23.21563,19.707378,22.327177
22.92202625,26.5096,20.915659,23.7656
24.06149875,27.51431,22.105085,25.196983
24.07277,28.505250000000004,22.719015,26.06321
15.023303749999998,16.17042,22.446768,25.852812
16.943065,18.93832,14.218059,15.899661
15.685265,18.41378,17.153032,19.639923
16.577385,19.63259,16.063541,18.632917
17.76120875,19.94456,16.439104,19.265705
16.77943625,18.13547,17.651217,20.793795
16.47952125,17.94891,16.846899,19.89779
16.3585225,17.07726,16.662205,19.630632
16.8195925,17.67519,16.742918,19.649456
17.96308125,20.00117,17.234856,20.114922
18.35646125,21.04102,18.186598,21.125425
17.57426625,19.46898,18.161448,21.118765
20.28254625,23.9634,17.712036,20.525723
21.6600125,25.68839,20.206774,23.439785
15.3513325,19.22586,21.3867,24.723856
14.0573925,14.96232,15.220645,17.278706
13.199685,14.43931,14.713376,16.86011
14.7491825,17.63541,14.999176,17.367718
16.00412,18.6646,15.916637,18.587137
17.07094875,21.62824,16.750364,19.576412
15.681063749999998,21.14807,17.261057,20.190903
17.2773925,23.41591,16.078138,18.769102
15.78754,19.15854,17.409962,20.37498
15.15194,19.90784,16.449596,19.167727
13.79129125,20.56539,15.158121,17.744902
13.518515,20.57763,13.856162,16.403582
13.588475,20.55009,13.998294,16.732206
14.49818375,20.071449999999995,14.243396,17.157469
14.667358749999998,21.50436,14.914245,17.984528
14.37183,20.95993,15.006141,18.037563
14.34334625,20.36506,14.539433,17.44869
15.463521249999998,20.62506,14.415012,17.289875
18.17372,21.54108,15.491298,18.463375
17.019355,18.19667,17.781326,21.003557
15.667312500000001,19.09892,16.946072,19.611506
14.792003750000001,16.53283,15.3704195,17.51401
15.67762125,18.13547,14.83989,16.87755
16.81250375,20.62047,15.870982,18.153942
17.3456375,21.63436,16.679237,19.182217
18.33199375,22.43262,16.937485,19.503332
16.23252625,19.90325,17.613945,20.31652
14.468361249999997,17.07109,15.452388,17.900152
15.2683425,21.86371,14.271689,16.666471
14.642508749999998,20.89419,15.216668,17.94034
15.345965000000001,20.923260000000003,14.919377,17.619001
16.67220125,20.634239999999995,15.296344,17.984655
15.555869999999999,17.08644,16.382355,19.127169
15.554537500000002,16.20255,15.624418,17.96026
14.463611250000001,15.4991,15.665625,17.765915
11.2950075,12.2265,14.886661,16.748856
12.4224375,14.01723,12.324873,13.933392
13.17827125,14.9256,13.7400255,15.838341
13.8981625,15.942549999999999,14.727269,17.10795
14.09199625,15.84774,14.722678,17.110712
14.5154025,16.34474,14.655491,16.974676
15.01049,16.8448,15.163595,17.45657
15.86017125,17.942789999999995,15.323354,17.588896
16.3191375,19.73811,16.385214,18.85371
17.49186875,21.62518,16.466154,18.92208
17.6404075,20.56697,16.985735,19.585575
18.1683775,19.97975,16.713488,19.192024
16.29602125,17.18737,16.813915,19.310946
14.216055,15.47768,14.577437,16.485817
14.509856250000002,16.03889,13.237032,14.95504
14.354636249999999,15.73151,14.409495,16.510292
14.11531,15.82938,14.099187,16.304272
13.408615,14.96079,14.185969,16.55237
14.294041249999998,16.43037,13.783189,16.150293
15.1808125,17.04054,14.7818,17.412926
14.91034375,15.59697,15.6314335,18.418816
13.4566,14.59838,15.421328,17.981407
14.00597125,16.72245,13.661155,15.847747
14.400135,16.0496,14.680004,17.139572
12.93149875,13.76799,15.086641,17.662624
