Real_AT_mean,Real_AT_max,Predicted_AT_mean,Predicted_AT_max
29.47364333,33.54257,29.093418,33.81932
30.52924792,34.49373,28.54721,33.187824
31.307239580000005,35.48773,28.95155,33.71218
30.18435667,34.5381,29.40841,34.296562
30.20048542,34.5534,29.153593,33.98665
27.92473625,30.5774,28.906918,33.67064
28.905922500000003,32.5501,27.77503,32.28405
27.35242542,31.5714,27.988619,32.522476
24.86806292,26.5861,27.63696,32.057747
26.44176875,30.5621,26.230785,30.325354
26.39193708,29.5528,26.904415,31.086954
27.98226083,32.5348,27.24137,31.460064
28.44817167,32.5501,27.943954,32.3089
28.46022042,32.5501,28.331724,32.777233
28.826659169999996,32.5501,28.299395,32.73643
28.736048329999996,32.5501,28.26643,32.706367
28.855963329999998,33.5441,28.175257,32.61856
28.78097125,33.5441,28.228563,32.706112
25.03940333,28.5894,28.27812,32.778088
26.09111917,31.55457,26.398859,30.498472
26.64585583,32.5654,26.4774,30.597527
26.30553375,31.5561,27.210814,31.453009
25.62440042,28.5894,27.054949,31.257048
24.25777792,25.5921,26.53281,30.599396
27.93723125,33.5594,25.505064,29.337465
27.42888375,32.5654,27.511065,31.736639
27.67394125,32.5501,27.610514,31.868631
29.12358833,33.5594,27.376284,31.612116
28.302395,33.5594,28.018671,32.413994
27.86090042,33.56093,27.806084,32.184124
28.758934579999995,33.5594,27.445312,31.760319
29.399309580000004,34.58247,27.76241,32.16375
25.28917833,28.6047,28.26881,32.771687
28.39746833,33.5594,26.11951,30.18929
28.787091250000003,33.5747,27.514315,31.85811
30.171436249999996,34.5687,28.248482,32.760834
30.348259169999995,33.57623,28.889378,33.53271
31.27770125,35.5627,28.807302,33.429287
31.567617919999996,35.5627,28.876835,33.5374
27.80369458,31.60353,29.07504,33.79599
27.5919575,29.61247,27.539186,31.91583
24.95676125,27.5954,27.060123,31.307335
24.79428208,30.5927,25.754244,29.725405
24.9589925,29.5987,25.79457,29.74043
27.52280958,32.5654,26.151636,30.129932
27.57588833,32.5807,27.570906,31.808157
25.80217958,29.5834,27.589289,31.815933
27.76277333,31.5867,26.30985,30.258049
27.50954958,32.5654,27.206602,31.348967
26.39117208,32.56693,27.34319,31.547682
27.05403,31.5714,26.624006,30.710892
28.10710542,31.5714,26.892118,31.058264
28.814695,33.56093,27.662924,31.98458
28.51185792,32.58223,27.927746,32.30216
26.05036083,27.6107,27.621378,31.908237
27.83975625,31.5867,25.991724,29.946949
27.66822458,31.5867,27.106335,31.275301
26.41284708,29.5834,27.339365,31.549612
25.41610583,28.5741,26.355906,30.380188
25.06858,29.5681,25.694822,29.59959
25.87995583,30.5468,25.743355,29.682695
26.4293375,30.5621,26.348326,30.444553
27.18204125,31.56987,26.751558,30.948112
27.59161792,31.5714,27.033949,31.304485
26.07437375,29.5681,27.180752,31.492666
27.26685083,30.5621,26.366325,30.514795
27.39269458,30.5774,26.861023,31.118757
25.98835292,29.5834,27.099241,31.412163
26.59653417,31.5561,26.164936,30.293112
24.70749625,28.5894,26.255545,30.418358
24.86321792,29.5681,25.399145,29.379416
25.28541708,29.5834,25.322971,29.281427
26.72199542,31.5561,25.748905,29.769575
27.66501625,32.5501,26.523708,30.693853
28.63124208,33.5594,27.027082,31.313103
26.37417167,31.58823,27.53137,31.923313
23.66143333,25.5921,26.229458,30.350573
23.99844042,25.59057,24.119436,27.834396
25.24980167,28.5741,24.681067,28.493105
25.20781125,29.5834,25.888922,29.907684
26.43284375,31.5561,25.544828,29.470816
27.42327375,31.5714,25.850653,29.848265
25.89780583,30.5621,26.658712,30.840628
26.39790875,31.54233,25.891417,29.940115
25.45255,29.56657,25.76826,29.862091
25.35824167,29.5681,25.673908,29.742548
23.91726458,25.59057,25.314413,29.312716
23.69908875,29.5681,24.269407,28.046844
23.78880708,27.5954,24.031792,27.758862
24.88914333,29.5681,24.318348,28.080587
26.57753667,30.5621,24.894009,28.776535
27.00496333,31.5561,25.837984,29.93215
27.21357667,31.5561,26.17446,30.354353
27.13845708,31.5561,26.134136,30.334589
24.90896958,29.56657,26.066433,30.270405
26.32897292,30.5621,24.706516,28.644365
26.83508917,31.5561,25.42304,29.53586
26.91938875,31.5561,26.198595,30.475363
27.52652917,31.5408,26.08537,30.34598
23.97476833,26.5555,26.037737,30.366964
21.4440375,22.5795,24.323694,28.374231
21.10014542,21.5702,22.62272,26.319454
22.43015458,26.49583,22.163082,25.747183
21.74475,24.5369,22.723974,26.507051
20.4079625,22.533599999999996,22.798986,26.638596
18.92015,19.5516,21.783073,25.409298
18.94416292,21.52583,20.10106,23.374598
18.78795333,21.4784,19.93982,23.171228
16.72313333,18.527,19.54071,22.8049
19.46239167,21.5549,18.684553,21.746187
23.72985917,28.5588,20.720753,24.044598
19.99118208,23.5888,23.915466,27.752161
17.37041542,18.4964,20.396566,23.561989
18.314775,21.4937,16.879505,19.532612
18.78935583,22.503,18.487185,21.585432
19.79451208,24.5063,19.70848,23.095413
20.61266625,25.5156,19.903685,23.34813
22.23002,26.52643,20.279034,23.75841
20.13338875,22.533599999999996,21.347027,25.009886
19.04695,19.5516,20.27726,23.710812
17.61710833,19.5516,19.168634,22.338835
18.24792083,19.5516,17.546347,20.399008
18.75065833,19.5516,18.119114,21.029634
19.42225,20.5609,18.513372,21.432768
20.75842083,24.5675,18.822775,21.740257
23.70416792,27.5648,20.043707,23.1347
23.96637417,27.5648,22.47035,26.035616
23.86022917,27.5801,22.413311,25.919544
24.072285,28.5741,21.535875,24.798552
17.30439125,21.5396,21.432858,24.669128
17.48812125,21.4631,14.008595,16.125439
17.8557075,21.41873,15.063034,17.819828
18.1745875,22.4418,17.747824,21.318644
19.20719917,22.45557,18.508957,22.266315
18.44990542,21.43403,18.616127,22.451942
18.52574708,23.4817,17.970406,21.762995
19.63228792,23.49547,18.424204,22.242826
18.71521333,19.5363,19.637852,23.520876
18.50201,19.5363,19.232292,22.842903
17.59239542,20.4538,18.206629,21.514679
17.36457125,20.4997,16.569744,19.74784
20.53304125,25.5309,17.303581,20.487465
23.70486917,28.52973,20.038406,23.432615
18.06449,21.54113,22.056034,25.701942
15.46584458,18.4046,16.490116,19.293793
15.85861208,18.41837,13.885534,16.628735
15.48339667,18.4658,15.523333,18.729193
16.95484625,21.4631,16.047174,19.378216
18.42429875,22.4724,16.485378,19.866999
17.82217375,23.43733,16.851168,20.321991
19.03199083,25.4544,16.953896,20.420967
19.40618625,23.48017,17.933813,21.520617
17.10640333,21.40343,18.06547,21.756132
14.67025792,20.4079,16.4096,19.946985
14.458669170000002,21.4172,14.183393,17.470787
14.925770420000001,21.3866,14.295746,17.606655
15.320960419999999,21.41873,14.4236145,17.797035
15.46286917,22.4265,14.963924,18.41691
15.08176583,22.39743,15.193942,18.629675
16.27821833,21.4478,14.620701,17.930836
17.14212417,19.4904,15.554278,18.937778
18.19564583,22.4877,16.561468,19.962955
18.92954333,21.4937,17.159512,20.492907
18.38679167,23.49547,17.226042,20.484276
15.573604170000001,17.4412,16.748669,19.882341
15.49136542,20.4538,13.994508,16.858105
16.33871708,18.511700000000005,14.549894,17.535261
18.96135458,23.51077,15.993102,19.0641
19.18014708,22.47393,17.452204,20.606936
16.50865625,19.3986,16.94958,20.011318
15.399884170000002,19.3986,14.083518,16.952917
16.43965667,19.3986,13.741886,16.81818
16.17594125,20.42473,15.541417,19.032621
16.47860792,22.4265,15.69231,19.211485
16.90475958,21.4478,15.25153,18.660772
17.39642542,20.4691,15.329201,18.699476
18.24273625,20.4997,16.11495,19.48541
15.453199999999999,16.4931,16.805832,20.130684
10.51469375,12.39623,14.012572,16.891762
11.19240542,14.4286,9.841271,12.144442
12.38636958,13.4346,10.688214,13.256393
13.40750625,16.40283,12.273072,15.138379
12.53050958,14.4439,12.534694,15.478098
13.52801583,14.4439,11.966537,14.7440605
14.72750542,19.43073,12.800301,15.623785
14.00189542,17.45803,13.983488,16.93348
17.58757125,21.4784,13.847396,16.629137
17.69998458,21.47993,16.60309,19.684788
18.82531083,22.47393,17.259975,20.242346
18.43796208,21.47993,17.592123,20.506433
17.26796792,19.4751,17.01843,19.83919
12.24040167,13.4652,16.264277,19.010147
11.837965,13.4652,11.79673,13.907499
14.89506375,17.4106,12.330066,14.604743
14.34991042,15.45473,14.754008,17.635908
13.4357475,14.4592,15.015146,17.981209
13.77581458,15.45473,13.531686,16.259417
15.56484833,18.4811,13.813716,16.582413
16.90924292,21.49523,16.362389,19.405252
12.02713458,13.449900000000001,17.576813,20.590033
14.828932919999998,18.43673,11.343501,13.391394
14.59420292,19.43073,13.598938,16.165344
13.87535042,14.4745,15.125144,17.988302
13.52382917,14.4898,14.272721,16.942095
15.79392542,18.511700000000005,13.236504,15.614045
18.09370833,21.509,15.604166,18.190928
20.05450792,23.49853,18.278,21.111805
18.26109625,19.521,19.443974,22.401976
18.22745708,20.515,16.776657,19.303537
19.68628417,23.49853,17.076637,19.804073
19.96447083,23.497,19.059978,22.300598
14.26155167,18.511700000000005,18.561478,21.667429
10.43887292,11.43283,12.049148,13.805026
9.946207917,11.431299999999998,10.231782,12.010152
10.26868,11.40223,11.512235,13.708949
9.739252083,11.40223,11.50909,13.810377
11.29491667,13.4193,10.798072,12.987548
12.72915708,15.4226,11.378141,13.749772
12.30651167,14.43013,13.001884,15.71475
10.12037417,11.4619,12.826569,15.518378
13.92696708,17.4718,11.43107,13.717082
13.3556125,14.5051,13.720069,16.315903
10.73614167,11.4619,13.714966,16.154041
10.6986775,12.4559,10.534761,12.353746
13.27724167,15.4991,10.605791,12.426271
12.64324167,13.4958,13.879765,16.21087
11.48074917,12.4559,13.145862,15.276239
13.73775583,17.40907,10.904013,12.684572
13.82979,14.4745,12.819104,15.105705
13.57034583,14.4898,14.723807,17.344824
15.79730417,17.5177,14.332465,16.77885
18.0306375,19.5363,15.745546,18.277428
10.52784708,16.5084,18.41739,21.1725
6.359193333,7.41093,9.754889,11.20242
8.24262125,10.36233,7.175489,8.34565
8.912364167,10.37763,9.813286,11.727335
10.76100542,14.3674,10.75444,12.977207
11.82026458,16.386,10.963086,13.361444
12.6471525,17.3953,11.644355,14.264869
14.593629169999998,18.43673,12.681752,15.50739
16.31931625,19.44603,14.45844,17.560705
17.339135,21.4631,16.130083,19.431166
18.06412833,19.5057,17.25238,20.596224
19.74266125,22.4877,17.96502,21.216032
19.70430458,23.497,19.493677,22.787569
18.76778625,20.515,19.314356,22.518957
18.7850625,19.5363,17.982735,20.933615
19.6632275,21.54113,17.608887,20.534029
18.94261208,21.5243,18.284819,21.264515
17.90290333,23.4664,17.003119,19.783144
16.88061917,20.4844,16.03064,18.721073
18.04132667,21.4937,16.69674,19.529951
19.41693792,21.509,18.555733,21.672216
20.17525167,22.503,19.27636,22.498104
20.31097667,22.51983,19.443699,22.68286
20.76738875,22.5183,19.491205,22.710474
22.22844708,25.5156,19.89714,23.174643
20.95039542,23.52913,21.196304,24.699291
20.99659333,22.53513,20.026176,23.262264
22.41107125,25.5309,19.879263,23.057442
21.58203667,23.52913,21.620272,25.109785
